user,artist,plays
2040b3d3cb47caace19e728090a88d6b1087aa8e,pixies,757
2040b3d3cb47caace19e728090a88d6b1087aa8e,tiger army,613
2040b3d3cb47caace19e728090a88d6b1087aa8e,leevi and the leavings,444
2040b3d3cb47caace19e728090a88d6b1087aa8e,the smiths,427
2040b3d3cb47caace19e728090a88d6b1087aa8e,the adicts,372
2040b3d3cb47caace19e728090a88d6b1087aa8e,ladytron,333
2040b3d3cb47caace19e728090a88d6b1087aa8e,necro,273
2040b3d3cb47caace19e728090a88d6b1087aa8e,the pogues,264
2040b3d3cb47caace19e728090a88d6b1087aa8e,against me!,263
2040b3d3cb47caace19e728090a88d6b1087aa8e,turbonegro,252
2040b3d3cb47caace19e728090a88d6b1087aa8e,satyricon,246
2040b3d3cb47caace19e728090a88d6b1087aa8e,tom waits,246
2040b3d3cb47caace19e728090a88d6b1087aa8e,social distortion,241
2040b3d3cb47caace19e728090a88d6b1087aa8e,johnny cash,231
2040b3d3cb47caace19e728090a88d6b1087aa8e,the killers,213
2040b3d3cb47caace19e728090a88d6b1087aa8e,entombed,199
2040b3d3cb47caace19e728090a88d6b1087aa8e,misfits,196
2040b3d3cb47caace19e728090a88d6b1087aa8e,raised fist,192
2040b3d3cb47caace19e728090a88d6b1087aa8e,in flames,185
2040b3d3cb47caace19e728090a88d6b1087aa8e,hüsker dü,183
2040b3d3cb47caace19e728090a88d6b1087aa8e,le tigre,180
2040b3d3cb47caace19e728090a88d6b1087aa8e,david bowie,173
2040b3d3cb47caace19e728090a88d6b1087aa8e,mogwai,172
2040b3d3cb47caace19e728090a88d6b1087aa8e,gnarls barkley,166
2040b3d3cb47caace19e728090a88d6b1087aa8e,billy bragg,161
2040b3d3cb47caace19e728090a88d6b1087aa8e,nouvelle vague,160
2040b3d3cb47caace19e728090a88d6b1087aa8e,nasum,148
2040b3d3cb47caace19e728090a88d6b1087aa8e,richard cheese,138
2040b3d3cb47caace19e728090a88d6b1087aa8e,the hellacopters,73
2040b3d3cb47caace19e728090a88d6b1087aa8e,ministry,64
2040b3d3cb47caace19e728090a88d6b1087aa8e,muse,62
2040b3d3cb47caace19e728090a88d6b1087aa8e,pmmp,60
2040b3d3cb47caace19e728090a88d6b1087aa8e,promoe,60
